NZ_CP007255.1.cluster001	b'1289591\n'
NC_007005.1.cluster007	b'205918\n'
NZ_CM000735.1.cluster010	b'526988\n'
NZ_CP019121.1.cluster002	b'672\n'
NZ_CP025308.1.cluster006	b'492670\n'
NZ_CP013121.1.cluster002	b'76857\n'
NZ_CP015344.1.cluster004	b'446\n'
NC_010612.1.cluster015	b'216594\n'
NZ_CP010397.1.cluster001	b'470\n'
NZ_CP015402.2.cluster001	b'1796646\n'
NZ_CP006850.1.cluster025	b'1415166\n'
NC_016603.1.cluster005	b'871585\n'
NZ_LT598496.1.cluster010	b'307121\n'
NZ_CP010397.1.cluster005	b'470\n'
NZ_LT629762.1.cluster006	b'1148509\n'
NZ_LT629775.1.cluster041	b'1855352\n'
NZ_CP011312.1.cluster001	b'35755\n'
NZ_CM002280.1.cluster003	b'1352941\n'
NC_010572.1.cluster004	b'455632\n'
NZ_CP016889.1.cluster004	b'549\n'
NZ_LT985188.1.cluster001	b'75385\n'
NZ_CP017886.1.cluster001	b'104087\n'
NZ_LT629787.1.cluster003	b'1434072\n'
NC_021282.1.cluster014	b'1303024\n'
NC_017532.1.cluster001	b'996285\n'
NZ_CP005927.1.cluster004	b'1327989\n'
NZ_CP020737.1.cluster012	b'265293\n'
NC_020133.1.cluster009	b'459424\n'
NZ_CM001230.1.cluster007	b'598467\n'
NZ_CP022438.1.cluster005	b'316280\n'
NZ_CP027533.1.cluster001	b'615\n'
NZ_LN831790.1.cluster003	b'1437453\n'
NZ_CP015758.1.cluster002	b'985002\n'
NZ_CP012517.1.cluster018	b'28450\n'
NC_003228.3.cluster001	b'272559\n'
NZ_CM002285.1.cluster004	b'1352936\n'
NZ_CP009802.1.cluster005	b'206662\n'
NZ_CP011917.1.cluster008	b'95486\n'
NZ_CP026269.1.cluster001	b'571\n'
NZ_CP014951.1.cluster015	b'36809\n'
NZ_CP023299.1.cluster003	b'78327\n'
NC_008789.1.cluster001	b'349124\n'
NC_022794.1.cluster002	b'1399115\n'
NC_009792.1.cluster001	b'290338\n'
NZ_CP009241.1.cluster003	b'1536774\n'
NZ_CM000729.1.cluster007	b'526982\n'
NZ_AP013063.1.cluster003	b'1334564\n'
NZ_CP011160.1.cluster003	b'76802\n'
NZ_CP014840.1.cluster007	b'1496303\n'
NZ_CP021780.1.cluster006	b'414771\n'
NZ_CP006929.1.cluster006	b'1427366\n'
NC_019842.1.cluster010	b'1225788\n'
NZ_CP023254.1.cluster007	b'2033437\n'
NZ_CP022521.1.cluster002	b'1470176\n'
NC_010002.1.cluster004	b'398578\n'
NZ_LT629713.1.cluster005_7	b'930166\n'
NC_019697.1.cluster010	b'1173020\n'
NZ_CP023778.1.cluster030	b'455432\n'
NC_014815.1.cluster003	b'648999\n'
NZ_CP014477.1.cluster005	b'48296\n'
NZ_AP018317.1.cluster006	b'1973482\n'
NC_020891.1.cluster002	b'1097677\n'
NC_010682.1.cluster002	b'402626\n'
NZ_CP022961.1.cluster015	b'2024580\n'
NZ_CP007203.1.cluster006	b'313624\n'
NZ_CP015600.1.cluster008	b'219572\n'
NC_014168.1.cluster005	b'640132\n'
NZ_CP009165.1.cluster012	b'1439855\n'
NZ_CM001489.1.cluster009	b'710111\n'
NZ_CP013690.1.cluster001	b'76832\n'
NC_021055.1.cluster002	b'1265601\n'
NC_009943.1.cluster002	b'96561\n'
NZ_CP012109.1.cluster024	b'1297742\n'
NZ_CP012041.1.cluster001	b'28450\n'
NZ_CP026387.1.cluster004_0	b'1920116\n'
NZ_CP027773.1.cluster006	b'2126319\n'
NZ_CP015698.1.cluster005	b'1844971\n'
NZ_CP022489.1.cluster002	b'192954\n'
NZ_CP013459.1.cluster004	b'1503054\n'
NZ_CM001763.1.cluster007	b'1260626\n'
NZ_LT629702.1.cluster003	b'47878\n'
NZ_CP011129.1.cluster002	b'84531\n'
NZ_CP016638.1.cluster002	b'28450\n'
NZ_CP010673.1.cluster003_0	b'60890\n'
NZ_CP022097.2.cluster002_0	b'380021\n'
NZ_CP022129.1.cluster001	b'1704499\n'
NZ_CP008856.2.cluster007	b'287\n'
NZ_CP009360.2.cluster011	b'439334\n'
NC_019753.1.cluster002	b'1173022\n'
NZ_CP006871.1.cluster006	b'1434306\n'
NC_014414.1.cluster002	b'314260\n'
NZ_CP014783.1.cluster011	b'1390\n'
NZ_CP019409.1.cluster002	b'1242091\n'
NZ_CP009111.1.cluster011	b'37919\n'
NZ_CP022522.1.cluster002	b'1514074\n'
NZ_CP024282.1.cluster001	b'208962\n'
NZ_CP018074.1.cluster029	b'54571\n'
NZ_LT907843.1.cluster008	b'1938820\n'
NC_019753.1.cluster005	b'1173022\n'
NZ_CP013738.1.cluster028	b'1172567\n'
NZ_CP023992.1.cluster012	b'92644\n'
NC_017448.1.cluster001_0	b'59374\n'
NZ_CP021277.1.cluster002_0	b'91892\n'
NZ_CM000745.1.cluster009	b'527000\n'
NZ_CP023859.1.cluster007	b'492670\n'
NZ_CP009111.1.cluster009	b'37919\n'
NZ_CP019798.1.cluster028	b'1812480\n'
NZ_CP017014.1.cluster014	b'679318\n'
NZ_CP015176.1.cluster010	b'1440\n'
NZ_LT629782.1.cluster003	b'76758\n'
